,"Defoamer Flow ","DSCHPump Speed","SCRNPump Speed","2POWPump Speed","Tank level","Production1st Stage","Production2nd Stage","Production1st POW","Production2nd POW(tpd)","Speed1st Stage","Speed2nd Stage","Speed1st POW","Speed2nd POW","Pre O2Kappa","Post O2Kappa","CODPre","CODPost","1st StageSolids","ImpregSolids","ConsistancyDischarge","North DSCH(Softwood)","Screen Feed tank","Stock1POW","2POW FD","1st StageFiltrate Tk"
"9/1/10 8:00 AM",2.54,65,65,65,48.7,1589,1452,1572,1713,8,8,10,10,12.8,9.8,215.5,54.9,14.5,17.3,5,3,5.1,4.9,5,0.5
"9/1/10 7:00 AM",2.58,65,65,65,48.86,1590,1582,1627,1622,9,9,10,9,13.7,9.6,215.5,54.9,14.5,17.3,5.2,3,5.2,5.1,5,-0.6
"9/1/10 6:00 AM",2.59,65,65,65,49.03,1419,1090,1322,1650,7,6,8,9,13,10,215.5,54.9,14.5,17.3,5.1,3,5.2,4.6,4.9,-0.3
"9/1/10 5:00 AM",2.54,65,65,65,49.2,1594,1530,1623,1553,9,8,10,9,13.3,8.8,215.5,54.9,14.6,17,5.1,3,5.1,4.6,4.9,0.7
"9/1/10 4:00 AM",2.48,65,65,65,49.36,1636,1472,1508,1396,8,8,9,8,13.2,9.8,215.5,54.9,14.6,17,4.3,3,5.2,4.5,4.8,1.8
"9/1/10 3:00 AM",2.37,65,65,65,49.53,1595,1444,1564,1561,9,8,9,9,13.5,8.6,215.5,54.9,14.6,17,4.9,3,5,4.4,4.8,-0.4
"9/1/10 2:00 AM",2.47,65,65,65,49.69,1625,1564,1626,1578,8,8,10,9,12.2,8.8,215.5,54.9,14.6,17,4.8,3,5.1,4.5,4.9,1.6
"9/1/10 1:00 AM",2.28,65,65,65,49.86,1582,1567,1622,1575,8,9,10,9,11.9,8.8,215.5,54.9,14.5,16.8,4.5,3,5.1,4.5,4.9,2.2
"9/1/10 12:00 AM",2.39,65,65,65,50.02,1616,1495,1596,1546,7,8,9,9,12.7,10,215.5,54.9,14.5,16.8,4.2,3,5,4.5,4.9,2.1
"8/31/10 11:00 PM",2.35,65,65,65,50.19,1548,1353,1531,1594,7,7,9,9,12.7,9.6,385.1,51.6,14.5,16.8,4.3,3,5,4.4,4.8,0.8
"8/31/10 10:00 PM",2.21,65,65,65,50.35,1523,1540,1634,1606,9,8,10,9,12.7,8.3,385.1,51.6,14.5,16.8,5.1,3,5.1,4.5,4.8,-0.1
"8/31/10 9:00 PM",2.22,65,65,65,50.52,1501,1462,1515,1519,8,8,9,9,12.1,9.9,385.1,51.6,14.3,16.6,5.2,3,5.1,4.5,4.8,0.3
"8/31/10 8:00 PM",2.09,65,65,65,50.68,1586,1532,1574,1502,8,8,9,9,13,10,385.1,51.6,14.3,16.6,4.7,3,5.1,4.5,4.8,0.6
"8/31/10 7:00 PM",1.88,65,65,65,50.85,1451,1365,1515,1564,8,7,9,9,13.3,9.8,385.1,51.6,14.3,16.6,5.2,3,5.1,4.4,4.8,0.3
"8/31/10 6:00 PM",2.19,65,65,65,51.01,1565,1603,1609,1591,9,9,10,9,13.6,8.8,385.1,51.6,14.3,16.6,5.1,3,5.1,4.5,4.9,0.3
"8/31/10 5:00 PM",2.02,65,65,65,51.18,1483,1516,1582,1554,8,8,9,9,12.3,9.1,385.1,51.6,14.5,16.6,4.9,3,5.1,4.5,4.8,0
"8/31/10 4:00 PM",1.95,65,65,65,51.31,1545,1543,1550,1600,9,8,9,9,13.1,8.9,385.1,51.6,14.5,16.6,5,3,5.1,4.5,4.9,0.7
"8/31/10 3:00 PM",1.97,65,65,65,51.44,1575,1519,1381,1503,9,8,8,8,12.6,8.4,385.1,51.6,14.5,16.6,4.8,3,5.1,4.2,4.8,0.9
"8/31/10 2:00 PM",2.07,65,65,65,51.56,1435,1364,1404,1328,9,9,8,8,12.6,9.4,385.1,51.6,14.5,16.6,4.1,3,2.7,4.5,4.8,0.3
"8/31/10 1:00 PM",2.23,65,65,65,51.69,1530,1540,1575,1635,9,8,10,9,13.1,9.2,385.1,51.6,14.3,16.7,5,3,5.2,4.5,4.8,0.3
"8/31/10 12:00 PM",2.27,65,65,65,51.81,1503,1518,1560,1573,9,8,9,8,12.7,7.9,385.1,51.6,14.3,16.7,4.9,3,5.1,4.5,4.8,0
"8/31/10 11:00 AM",2.25,65,65,65,51.94,1463,1492,1509,1499,8,8,9,8,12.5,8.3,151.1,42.8,14.3,16.7,4.9,3,5.1,4.7,4.9,-0.4
"8/31/10 10:00 AM",2.42,65,65,65,52.06,1562,1448,1450,1429,7,7,8,8,12.4,8.9,151.1,42.8,14.3,16.7,3.7,3,5.1,4.5,4.7,-1
"8/31/10 9:00 AM",2.18,65,65,65,52.19,1109,878,1202,1516,13,8,6,8,12.3,8.2,151.1,42.8,15.1,16.6,4.8,3,2.8,4.1,4.3,-3.3
"8/31/10 8:00 AM",2.21,65,65,65,52.33,1529,1472,1450,1344,7,8,8,8,12.3,7.6,151.1,42.8,15.1,16.6,4.2,3,4.6,4.3,4,-1.4
"8/31/10 7:00 AM",2.11,60.14,60.14,60.14,52.48,1311,1271,1253,1208,9,7,7,7,11.3,7.7,151.1,42.8,15.1,16.6,5.1,3,4.4,4.3,4,-1
"8/31/10 6:00 AM",2.13,60.14,60.14,60.14,52.62,1264,1259,1311,1258,7,7,7,7,12,7.7,151.1,42.8,15.1,16.6,4.4,3,4.4,4.3,4.1,-1.1
"8/31/10 5:00 AM",2.13,57.57,57.57,57.57,52.77,1249,1089,1089,1049,7,6,5,6,12.6,8.7,151.1,42.8,13.7,16.1,4.9,3,4.4,4.2,4,-1.5
"8/31/10 4:00 AM",2.03,57.57,57.57,57.57,52.92,1240,1098,1168,1121,7,6,6,7,11.9,8.8,151.1,42.8,13.7,16.1,5.1,3,4.4,4.3,4.1,-1.3
"8/31/10 3:00 AM",2.1,55.8,55.8,55.8,53.07,1184,1073,1129,1090,9,7,8,7,12.7,8.6,151.1,42.8,13.7,16.1,4.1,3,4.2,4.3,4.1,-2.2
"8/31/10 2:00 AM",2.07,55.8,55.8,55.8,53.22,1201,1161,1121,1005,9,6,8,6,12.7,7.7,151.1,42.8,13.7,16.1,5.1,3,4.4,4.3,4,-2.2
"8/31/10 1:00 AM",2.17,55.8,55.8,55.8,53.37,1203,1005,1012,932,9,7,8,6,11.8,7.4,151.1,42.8,12.9,16.1,5.1,3,4.5,4.3,4.1,-2
"8/31/10 12:00 AM",2.21,55.8,55.8,55.8,53.51,1225,935,989,1021,10,7,8,6,12,8.1,151.1,42.8,12.9,16.1,3.8,3,4.1,4.4,4.3,-1.5
"8/30/10 11:00 PM",2.18,58.33,58.33,58.33,53.66,1256,1135,1247,1235,6,6,6,7,12.7,8.3,156,35.7,12.9,16.1,4.6,3,4.6,4.8,4.9,-1.7
"8/30/10 10:00 PM",2.15,58.33,58.33,58.33,53.81,1301,1401,1505,1583,7,7,8,9,12.8,8.5,156,35.7,12.9,16.1,5.1,3,4.8,5.2,5.2,-0.6
"8/30/10 9:00 PM",1.98,65,65,65,53.96,1501,1477,1471,1559,8,8,9,9,13.2,8.5,156,35.7,13,16,5.1,3,5,5.1,5.1,-0.5
"8/30/10 8:00 PM",1.85,65,65,65,54.11,1454,1491,1511,1596,8,8,9,9,12.7,8.2,156,35.7,13,16,5.1,3,5,5.1,5.2,-0.9
"8/30/10 7:00 PM",1.48,65,65,65,54.26,1483,1584,1593,1639,8,8,9,9,12.4,8.7,156,35.7,13,16,5,3,5,5.2,5.2,-0.1
"8/30/10 6:00 PM",1.24,65,65,65,54.41,1588,1574,1554,1588,8,9,9,9,13.1,8.3,156,35.7,13,16,5,3,4.9,5.2,5.2,-0.9
"8/30/10 5:00 PM",1.26,65,65,65,54.56,1575,1505,1554,1650,8,8,9,9,12.8,9,156,35.7,12.8,16,4.9,3,5,5.2,5.2,-1.1
"8/30/10 4:00 PM",1.33,65,65,65,54.66,1641,1561,1500,1618,8,8,9,9,13.6,8.5,156,35.7,12.8,16,4.9,3,5,5.1,5.2,-1.8
"8/30/10 3:00 PM",1.25,65,65,65,54.76,1504,1582,1615,1632,9,9,9,9,12.9,8.4,156,35.7,12.8,16,5,3,5,5.2,5.2,-1.4
"8/30/10 2:00 PM",1.07,65,65,65,54.86,1487,1559,1501,1500,9,8,9,8,13,7.6,156,35.7,12.8,16,4.9,3,5.1,5.4,5.3,-1.2
"8/30/10 1:00 PM",1.06,65,65,65,54.97,1461,1387,1273,1221,8,7,7,7,13,7.7,156,35.7,13.2,17.6,5,3,5,5.2,5.1,-3.5
"8/30/10 12:00 PM",1.09,65,65,65,55.07,1596,1504,1593,1650,9,8,9,9,13.3,7.2,156,35.7,13.2,17.6,4.9,3,4.9,5.2,5.1,-3.4
"8/30/10 11:00 AM",1.11,65,65,65,55.17,1532,1563,1684,1832,9,8,10,10,12.8,9.4,156,35.7,13.2,17.6,5,3,4.9,5.2,5.2,-3.7
"8/30/10 10:00 AM",0.86,45,45,45,55.27,1601,1715,1658,1845,8,9,9,9,16.5,6.5,156,35.7,13.2,17.6,5,3,4.4,5.2,5.1,-3.6
"8/30/10 9:00 AM",1.16,45,45,45,55.37,1604,1549,1625,1665,9,7,9,8,12,5.9,156,35.7,13.3,18.1,5.2,3,4.3,5.3,5,-3.8
"8/30/10 8:00 AM",1.08,45,45,45,55.45,1570,1624,1430,1583,8,8,8,8,10.4,6.3,156,35.7,13.3,18.1,5,3,4.6,5.1,4.9,-4
"8/30/10 7:00 AM",1.04,45,45,45,55.53,1567,1358,1438,1573,9,7,8,8,11.1,8,156,35.7,13.3,18.1,4.3,3,4.2,5.1,4.8,-3.9
"8/30/10 6:00 AM",0.94,45,45,45,55.61,1585,1500,1561,1629,9,7,9,9,14.5,10.8,156,35.7,13.3,18.1,4.6,3,4.3,5.3,5,-3.8
"8/30/10 5:00 AM",0.79,45,45,45,55.69,1620,1643,1421,1347,9,9,8,7,19.6,7.9,121.8,66.4,13.8,17.4,5.1,3,4.5,5.1,4.9,-3.6
"8/30/10 4:00 AM",0.49,45,45,45,55.77,3,0,0,0,14,9,9,11,13.6,6.9,121.8,66.4,13.8,17.4,3,3,1.4,3.6,2,-4
"8/30/10 3:00 AM",0.29,45,45,45,55.85,7,0,0,0,0,0,0,0,13,6.4,121.8,66.4,13.8,17.4,3,3,2,2,2,-4
"8/30/10 2:00 AM",1.03,45,45,45,55.93,5,0,0,0,0,0,0,0,13,6.4,121.8,66.4,13.8,17.4,3,3,2,2,2,-4
"8/30/10 1:00 AM",1.36,45,45,45,56.01,1392,1335,1567,1597,7,7,9,9,12.4,6.5,121.8,66.4,13.9,18.3,3.3,3,4.2,5.2,5,-3.9
"8/30/10 12:00 AM",1.38,45,45,45,56.1,1560,1541,1506,1501,8,8,9,8,12.1,7.1,121.8,66.4,13.9,18.3,5.1,3,4.4,5.2,4.9,-3.7
"8/29/10 11:00 PM",1.38,45,45,45,56.2,1588,1475,1513,1561,7,7,9,9,18.1,8.2,121.8,66.4,13.9,18.3,4.5,3,4.3,5.1,4.8,-3.5
"8/29/10 10:00 PM",1.33,45,45,45,56.3,1574,1668,1684,1685,10,9,10,9,14.6,7.3,121.8,66.4,13.9,18.3,5,3,4.3,5.3,5,-3.7
"8/29/10 9:00 PM",1.24,45,45,45,56.4,1614,1660,1558,1452,8,8,9,8,13.7,6.5,121.8,66.4,14,18.2,4.8,3,4.4,5.3,5,-3.6
"8/29/10 8:00 PM",1.08,45,45,45,56.5,1241,1520,1508,1521,7,7,9,8,11.8,7.1,121.8,66.4,14,18.2,5.1,3,4.3,5,4.9,-3.3
"8/29/10 7:00 PM",1.14,45,45,45,56.6,1457,976,1135,1251,6,8,6,7,12.6,7.8,169,62,14,18.2,4.6,3,4.3,4.8,4.6,-3.8
"8/29/10 6:00 PM",0.99,45,45,45,56.7,1568,1477,1655,1631,7,7,10,9,14.9,10,169,62,14,18.2,4.6,3,4.3,5.3,5,-3.2
"8/29/10 5:00 PM",1.01,45,45,45,56.79,1579,1620,1658,1726,9,8,10,9,19.1,6.6,169,62,14.2,17.7,5.3,3,4.5,5.6,5.2,-2.7
"8/29/10 4:00 PM",1,45,45,45,56.86,1538,1516,1472,1375,7,7,8,7,12,6.8,169,62,14.2,17.7,4.3,3,4.6,5.8,5.3,-3.4
"8/29/10 3:00 PM",0.94,45,45,45,56.92,1491,1091,1147,1235,9,5,6,7,12.2,6.8,169,62,14.2,17.7,5.3,3,4.3,5.3,5,-2.3
"8/29/10 2:00 PM",1.05,45,45,45,56.99,1606,1551,1601,1704,9,8,10,10,12.4,7.2,169,62,14.2,17.7,5.3,3,4.5,5.4,5.1,-1.6
"8/29/10 1:00 PM",1.14,45,45,45,57.06,1584,1691,1686,1618,8,9,10,9,13.7,8.6,244.9,52.2,14.1,17.4,5.2,3,4.5,5.4,5.2,-1.6
"8/29/10 12:00 PM",1.24,45,45,45,57.12,1503,1568,1665,1720,8,8,10,10,13.9,9.3,244.9,52.2,14.1,17.4,5.3,3,4.4,5.2,5.1,-1.3
"8/29/10 11:00 AM",1.7,45,45,45,57.19,1517,1651,1798,1628,9,9,12,10,13.7,9.5,244.9,52.2,14.1,17.4,5.4,3,4.6,4.9,4.8,-0.5
"8/29/10 10:00 AM",2.23,65,65,65,57.26,1600,1547,1587,1494,9,8,9,9,13.1,9.2,244.9,52.2,14.1,17.4,5,3,5.1,4.4,4.8,0.3
"8/29/10 9:00 AM",2.31,65,65,65,57.36,1679,1539,1552,1364,8,8,9,8,12.9,9.9,244.9,52.2,13.9,16.6,4.5,3,5.1,4.4,4.7,1
"8/29/10 8:00 AM",2.33,65,65,65,57.51,1570,1353,1531,1542,8,7,9,9,13.4,8.9,244.9,52.2,13.9,16.6,5.1,3,4.9,4.3,4.7,-0.2
"8/29/10 7:00 AM",2.3,65,65,65,57.66,1590,1581,1609,1607,9,8,9,9,13.9,9.2,244.9,52.2,13.9,16.6,5.2,3,5.1,4.4,4.8,0.7
"8/29/10 6:00 AM",2.4,65,65,65,57.81,1635,1612,1538,1408,9,8,9,8,13.6,8.5,244.9,52.2,13.9,16.6,5,3,5.1,4.6,4.8,0.6
"8/29/10 5:00 AM",2.46,65,65,65,57.96,1502,1099,1093,1101,7,6,5,7,12.3,9.6,244.9,52.2,13.5,16.2,3.6,3,5.1,4.3,4.6,0.4
"8/29/10 4:00 AM",2.47,65,65,65,58.11,1589,1503,1535,1519,9,8,9,9,13.5,10.9,244.9,52.2,13.5,16.2,5.3,3,5,4.6,4.9,0.4
"8/29/10 3:00 AM",2.32,65,65,65,58.26,1610,1552,1607,1591,9,8,9,9,13.9,10.5,244.9,52.2,13.5,16.2,5.2,3,5,4.5,4.8,0.7
"8/29/10 2:00 AM",2.4,65,65,65,58.42,1615,1667,1647,1629,9,9,10,9,14.2,9.4,244.9,52.2,13.5,16.2,5.2,3,5,4.7,5,1.3
"8/29/10 1:00 AM",2.35,65,65,65,58.57,1576,1370,1480,1312,7,7,8,8,12.8,8.8,244.9,52.2,13.8,16.6,3.9,3,4.9,4.7,4.9,0.2
"8/29/10 12:00 AM",2.31,65,65,65,58.73,1569,1279,1296,1199,7,6,7,7,13.4,9.3,244.9,52.2,13.8,16.6,4.9,3,5,4.6,4.9,-0.3
"8/28/10 11:00 PM",2.26,65,65,65,58.89,1618,1497,1608,1589,7,8,9,9,13.6,9.8,244.9,52.2,13.8,16.6,4.4,3,4.9,4.6,4.9,0.2
"8/28/10 10:00 PM",2.21,65,65,65,59.05,1626,1427,1535,1561,8,7,8,9,13.7,9.2,244.9,52.2,13.8,16.6,4.7,3,4.9,4.5,4.9,0.7
"8/28/10 9:00 PM",2.05,65,65,65,59.21,1604,1503,1543,1563,9,8,9,9,13.3,9,244.9,52.2,14.1,16.5,5.2,3,5,4.6,4.9,-0.2
"8/28/10 8:00 PM",2.06,65,65,65,59.37,1577,1516,1516,1403,9,8,8,8,13.2,8.7,244.9,52.2,14.1,16.5,5.3,3,5.1,4.5,4.9,0.3
"8/28/10 7:00 PM",1.66,65,65,65,59.53,1603,1573,1607,1566,8,8,9,9,12.4,9.1,165,38,14.1,16.5,4.7,3,5,4.6,4.9,0.8
"8/28/10 6:00 PM",1.57,65,65,65,59.69,1672,1579,1558,1502,8,8,9,9,13.1,8.9,165,38,14.1,16.5,4.7,3,5.1,4.6,4.9,-0.2
"8/28/10 5:00 PM",1.6,65,65,65,59.83,1652,1532,1598,1564,9,8,10,9,12.8,8.9,165,38,14.2,16.7,5.2,3,5,5,4.9,-0.4
"8/28/10 4:00 PM",1.58,65,65,65,59.94,1586,1601,1626,1564,8,9,10,9,12.3,9.3,165,38,14.2,16.7,5.1,3,5.1,5,4.9,-0.2
"8/28/10 3:00 PM",1.47,65,65,65,60.04,1621,1543,1564,1545,8,9,10,9,12.8,9.7,165,38,14.2,16.7,5.2,3,5,5,5,1
"8/28/10 2:00 PM",1.39,65,65,65,60.15,1592,1559,1617,1555,8,8,10,9,13.4,10.4,165,38,14.2,16.7,5.1,3,5,5,4.9,-0.3
"8/28/10 1:00 PM",1.37,65,65,65,60.26,1582,1518,1570,1542,8,8,10,9,14.4,10.5,165,38,13.9,16.6,4.7,3,5.1,5,5,-0.7
"8/28/10 12:00 PM",1.35,65,65,65,60.37,1600,1381,1469,1399,7,8,9,9,14.5,8.6,165,38,13.9,16.6,3.7,3,4.7,5.2,5,-0.5
"8/28/10 11:00 AM",1.64,65,65,65,60.48,734,897,1117,1209,11,5,6,8,14,9,274.4,62.7,13.9,16.6,5.1,3,4.1,4.9,4.8,-1.2
"8/28/10 10:00 AM",2.06,65,65,65,60.59,702,1061,1395,1489,14,6,9,9,12.9,10,274.4,62.7,13.9,16.6,4.8,3,4.3,5,4.9,-2.4
"8/28/10 9:00 AM",2.32,65,65,65,60.72,1634,1548,1520,1452,9,8,10,9,14.1,10.7,274.4,62.7,13.8,16.9,5.1,3,5.1,5.1,4.9,0.5
"8/28/10 8:00 AM",2.39,65,65,65,60.88,1591,1407,1250,1139,8,8,7,7,13.6,10,274.4,62.7,13.8,16.9,4.6,3,5.1,4.9,4.9,-0.8
"8/28/10 7:00 AM",2.53,65,65,65,61.04,1581,1565,1614,1559,9,9,11,9,13.9,9.2,274.4,62.7,13.8,16.9,5.1,3,5,5.1,5,0.2
"8/28/10 6:00 AM",2.51,65,65,65,61.19,1554,1482,1434,1352,8,8,9,8,13.3,11.2,274.4,62.7,13.8,16.9,5,3,5,5.1,5.1,-0.5
"8/28/10 5:00 AM",2.5,65,65,65,61.35,1575,1507,1538,1502,8,8,10,9,14.2,10.5,274.4,62.7,14.3,16.4,5.2,3,4.9,5,5,-1.1
"8/28/10 4:00 AM",2.46,65,65,65,61.51,1565,1520,1523,1488,9,8,10,9,13.4,10.1,274.4,62.7,14.3,16.4,5,3,5,5,5,-0.4
"8/28/10 3:00 AM",2.47,65,65,65,61.67,1566,1524,1529,1519,8,8,10,9,14.2,10.2,274.4,62.7,14.3,16.4,5,3,5,4.9,5,-1.7
"8/28/10 2:00 AM",2.23,65,65,65,61.82,1534,1569,1615,1545,8,9,10,9,12.9,10.2,274.4,62.7,14.3,16.4,5,3,5,5.1,5.1,-0.7
"8/28/10 1:00 AM",2.15,65,65,65,61.97,1537,1483,1423,1362,8,8,9,8,12.7,11.7,274.4,62.7,14,16.3,5.1,3,5,5.1,5,0.6
"8/28/10 12:00 AM",2.07,65,65,65,62.12,1584,1161,1298,1368,14,6,8,9,14.6,12.3,274.4,62.7,14,16.3,3,3,3.4,4.8,4.9,-2.3
"8/27/10 11:00 PM",1.93,65,65,65,62.26,1568,1510,1525,1454,8,8,10,9,14.1,12.3,184.9,42.3,14,16.3,4.9,3,5,5,5,-2.2
"8/27/10 10:00 PM",2.01,65,65,65,62.41,1566,1524,1517,1470,9,9,10,9,14.2,12,184.9,42.3,14,16.3,5.1,3,5,5.1,5,-2.2
"8/27/10 9:00 PM",1.79,65,65,65,62.55,1454,1229,1134,1168,7,7,7,7,14.2,10.7,184.9,42.3,13,17.3,4.6,3,5,5,5.1,-2.9
"8/27/10 8:00 PM",1.45,65,65,65,62.7,1596,1556,1187,1418,9,9,8,10,14.4,8.3,184.9,42.3,13,17.3,5,3,4.9,5.2,5.5,-2.7
"8/27/10 7:00 PM",1.18,65,65,65,62.84,1478,864,957,1020,13,9,10,12,18.6,8.2,184.9,42.3,13,17.3,3,3,2.9,5,4.7,-3.8
"8/27/10 6:00 PM",0.88,51.58,51.58,51.58,62.99,657,507,1029,1095,14,9,10,12,14.1,8,184.9,42.3,13,17.3,4.3,3,2,5.2,4.8,-3.7
"8/27/10 5:00 PM",0.86,45,45,45,63.08,1477,1392,1572,1563,7,7,9,9,13.6,7.5,184.9,42.3,14.1,17.7,5.1,3,4.2,5.1,5,-2.7
"8/27/10 4:00 PM",0.75,45,45,45,63.14,1609,1581,1669,1573,8,8,9,9,13.4,8.3,184.9,42.3,14.1,17.7,5.2,3,4.2,5.3,5,-3.9
"8/27/10 3:00 PM",0.8,45,45,45,63.2,1581,1513,1575,1603,8,8,9,9,13.6,7.9,184.9,42.3,14.1,17.7,5.3,3,4.3,5.2,4.9,-3.8
"8/27/10 2:00 PM",0.78,45,45,45,63.26,1627,1625,1658,1581,9,9,9,9,13.5,7.7,184.9,42.3,14.1,17.7,5.1,3,4.2,5.2,5,-3.9
"8/27/10 1:00 PM",0.78,45,45,45,63.32,1580,1541,1628,1594,8,8,9,9,13,8,184.9,42.3,14.2,17.5,5.2,3,4.1,5.2,5,-3.6
"8/27/10 12:00 PM",0.94,45,45,45,63.39,1640,1696,1621,1608,8,9,9,10,13.1,7.7,184.9,42.3,14.2,17.5,4.6,3,4.3,5.2,5,-3.9
"8/27/10 11:00 AM",1.22,45,45,45,63.45,1576,1574,1660,1586,8,8,9,9,13.6,8.3,184.9,42.3,14.2,17.5,5.4,3,4.2,5.2,5,-3.8
"8/27/10 10:00 AM",1.22,45,45,45,63.51,1645,1569,1642,1619,9,8,9,10,13.9,7.4,184.9,42.3,14.2,17.5,5,3,4.2,5.2,4.9,-3.8
"8/27/10 9:00 AM",1.32,45,45,45,63.59,1571,1594,1642,1572,9,8,9,9,13,7.6,184.9,42.3,13.4,17.7,5.2,3,4.2,5.3,5,-2.9
"8/27/10 8:00 AM",1.32,45,45,45,63.67,1542,1455,1514,1536,8,7,9,9,16.4,8.9,184.9,42.3,13.4,17.7,5.3,3,4.2,5.2,5.1,-3.7
"8/27/10 7:00 AM",1.22,45,45,45,63.75,1612,1445,1462,1471,8,7,8,9,19.2,12.2,161.3,29.1,13.4,17.7,4.7,3,4.2,5.1,4.8,-3.7
"8/27/10 6:00 AM",1.19,45,45,45,63.84,1582,1560,1743,1752,9,8,10,10,19.1,8.1,161.3,29.1,13.4,17.7,5.1,3,4.2,5.2,5,-3.2
"8/27/10 5:00 AM",1.24,45,45,45,63.92,1599,1584,1663,1610,9,8,9,9,13.9,7.4,161.3,29.1,13.3,16.7,5.2,3,4.2,5.2,5.1,-3.6
"8/27/10 4:00 AM",1.22,45,45,45,64,1559,1541,1534,1510,9,8,8,8,13.4,7.6,161.3,29.1,13.3,16.7,5.4,3,4.2,5.3,5.1,-3.5
"8/27/10 3:00 AM",1.25,45,45,45,64.09,1288,1019,1228,1387,7,5,6,8,14,7.9,161.3,29.1,13.3,16.7,5.3,3,4.1,4.8,5,-3.8
"8/27/10 2:00 AM",2,45,45,45,64.17,1535,1409,1605,1621,9,7,9,9,13,9.2,161.3,29.1,13.3,16.7,5.4,3,4.1,5.1,5.1,-3.4
"8/27/10 1:00 AM",2.05,45,45,45,64.3,1582,1526,1801,1704,7,8,10,10,13.7,7.3,161.3,29.1,12.4,16.3,4.3,3,4.1,5.1,5.1,-3.7
"8/27/10 12:00 AM",2.18,45,45,45,64.44,1585,1629,1642,1510,9,9,9,8,12.9,7,161.3,29.1,12.4,16.3,5.1,3,4.2,4.6,4.4,-3
"8/26/10 11:00 PM",2.37,45,45,45,64.58,1566,1557,1340,970,9,8,7,12,12.7,9.3,142.4,41.4,12.4,16.3,5.3,3,4.2,5.2,3.6,-2.8
"8/26/10 10:00 PM",2.45,45,45,45,64.72,1599,1501,1105,1413,8,8,6,9,13.3,10.3,142.4,41.4,12.4,16.3,4.9,3,4.3,3.8,4.1,-2.4
"8/26/10 9:00 PM",2.57,65,65,65,64.86,1446,960,0,1199,9,9,9,7,18.5,11.1,142.4,41.4,11,16.1,4,3,3.1,3.4,3.7,-3.6
"8/26/10 8:00 PM",2.5,80,80,80,65,1467,1375,1226,1321,8,7,6,8,17.5,10.3,142.4,41.4,11,16.1,3,4.2,3.6,3.9,3.9,-1.6
"8/26/10 7:00 PM",1.47,80,80,80,65.13,1473,1440,1171,1278,8,7,6,8,19.5,9.7,142.4,41.4,11,16.1,3,4.1,3.5,3.6,3.8,-1.8
"8/26/10 6:00 PM",0.92,80,80,80,65.27,1409,1307,1229,1102,7,7,9,6,17,9,142.4,41.4,11,16.1,3,4,3.8,3.5,3.3,-2.5
"8/26/10 5:00 PM",0.97,80,80,80,65.35,0,0,0,0,0,0,0,0,16.2,10.1,142.4,41.4,12.3,16.3,3,3,2,2,2,-4.1
"8/26/10 4:00 PM",1.14,80,80,80,65.41,2,0,0,0,0,0,0,0,16.2,10.1,142.4,41.4,12.3,16.3,3,3,2,2,2,-4.1
"8/26/10 3:00 PM",1.38,80,80,80,65.47,3,0,0,0,0,0,0,0,16.2,10.1,142.4,41.4,12.3,16.3,3,3,2,2,2,-4.1
"8/26/10 2:00 PM",1.63,80,80,80,65.53,4,1263,1244,1446,13,6,7,7,16.3,9.4,142.4,41.4,12.3,16.3,3,3,3.6,3.6,3.1,-2.8
"8/26/10 1:00 PM",1.69,80,80,80,65.6,1314,1317,1308,1468,7,7,7,7,17.8,9.6,142.4,41.4,12.6,16.3,3,4,3.6,3.6,3.2,-2.8
"8/26/10 12:00 PM",1.19,80,80,80,65.66,1327,1389,1350,1501,6,7,8,8,18.9,8.9,142.4,41.4,12.6,16.3,3,3,3.5,3.5,3.2,-3.5
"8/26/10 11:00 AM",2.02,80,80,80,65.72,1326,1365,1303,1392,7,7,8,8,20.4,8,142.4,41.4,12.6,16.3,3,4.2,3.6,3.4,3.2,-3.1
"8/26/10 10:00 AM",2.38,80,80,80,65.78,1292,1118,1154,1222,6,6,6,7,16.4,9.4,142.4,41.4,12.6,16.3,3,3.2,3.4,3.3,3.1,-3.3
"8/26/10 9:00 AM",2.58,80,80,80,65.95,1107,1097,1151,1200,6,5,7,7,15.5,11.3,142.4,41.4,12.6,16,3,4.2,3.5,3.4,3.2,-3.6
"8/26/10 8:00 AM",2.57,80,80,80,66.12,1122,1138,1121,1161,5,6,7,7,18,12.3,142.4,41.4,12.6,16,3,3.7,3.5,3.5,3.3,-2.3
"8/26/10 7:00 AM",2.6,80,80,80,66.29,1152,1034,919,1043,6,5,4,6,20.1,11.6,135.5,42.5,12.6,16,3,4.1,3.5,3.5,3.4,-3.2
"8/26/10 6:00 AM",2.62,80,80,80,66.46,1317,1226,997,1096,7,6,5,6,19.1,13.7,135.5,42.5,12.6,16,3,4.2,3.6,3.7,3.6,-3.6
"8/26/10 5:00 AM",2.9,60.36,60.36,60.36,66.63,0,1119,1207,1431,14,5,9,9,19.4,13.2,135.5,42.5,12.7,16.8,3,3,4,4,3.8,-3
"8/26/10 4:00 AM",2.65,80,80,80,66.8,1459,1279,1211,1445,7,7,9,9,19.2,14.1,135.5,42.5,12.7,16.8,3,3.9,4.2,4,3.8,-3.2
"8/26/10 3:00 AM",3.02,80,80,80,66.97,1429,1420,1267,1499,8,9,9,9,21.2,13.5,135.5,42.5,12.7,16.8,3,4.3,4.1,4,3.8,-3
